Source,Organism,Molecule,host strain,host gender,host age (yr),pathogen,bacterial strain,pathogen   dosage cfu/g,inoculum route,anatomic site of infection,infection status,time after infection (h),replicate number,experimental batch
blood A/J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,1,6
blood A/J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,2,6
blood A/J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,3,6
blood A/J mouse strain blood taken 4 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,4,1,2
blood A/J mouse strain blood taken 4 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,4,2,2
blood A/J mouse strain blood taken 4 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,4,3,2
blood A/J mouse strain blood taken 4 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,4,4,2
blood A/J mouse strain blood taken 4 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,4,5,2
blood A/J mouse strain blood taken 6 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,6,1,2
blood A/J mouse strain blood taken 6 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,6,2,2
blood A/J mouse strain blood taken 6 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,6,3,2
blood A/J mouse strain blood taken 6 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,6,4,2
blood A/J mouse strain blood taken 6 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,6,5,2
blood A/J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,1,2
blood A/J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,2,2
blood A/J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,3,2
blood A/J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,4,2
blood A/J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,5,2
blood A/J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,1,1
blood A/J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,2,1
blood A/J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,3,1
blood A/J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,4,1
blood A/J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,5,1
blood A/J mouse strain blood taken 2 hours after infection with S. aureus USA100,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,USA100,1.00E+07,peritoneum,-,infected,2,1,6
blood A/J mouse strain blood taken 2 hours after infection with S. aureus USA100,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,USA100,1.00E+07,peritoneum,-,infected,2,2,6
blood A/J mouse strain blood taken 2 hours after infection with S. aureus USA100,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,USA100,1.00E+07,peritoneum,-,infected,2,3,6
blood A/J mouse strain blood taken 2 hours after infection with S. aureus USA300,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,USA300,1.00E+07,peritoneum,-,infected,2,1,6
blood A/J mouse strain blood taken 2 hours after infection with S. aureus USA300,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,USA300,1.00E+07,peritoneum,-,infected,2,2,6
blood A/J mouse strain blood taken 2 hours after infection with S. aureus USA300,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,USA300,1.00E+07,peritoneum,-,infected,2,3,6
blood AKR/J mouse strain NOT infected,Mus musculus,total RNA,AKR/J,male,0.50-0.66,-,-,-,-,-,-,0,1,2
blood AKR/J mouse strain NOT infected,Mus musculus,total RNA,AKR/J,male,0.50-0.66,-,-,-,-,-,-,0,2,2
blood AKR/J mouse strain NOT infected,Mus musculus,total RNA,AKR/J,male,0.50-0.66,-,-,-,-,-,-,0,3,2
blood AKR/J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,AKR/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,1,2
blood AKR/J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,AKR/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,2,2
blood AKR/J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,AKR/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,3,2
blood BALB/cBy mouse strain NOT infected,Mus musculus,total RNA,BALB/cByJ,male,0.50-0.66,-,-,-,-,-,-,0,1,2
blood BALB/cBy mouse strain NOT infected,Mus musculus,total RNA,BALB/cByJ,male,0.50-0.66,-,-,-,-,-,-,0,2,2
blood BALB/cBy mouse strain NOT infected,Mus musculus,total RNA,BALB/cByJ,male,0.50-0.66,-,-,-,-,-,-,0,3,2
blood BALB/cBy mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,BALB/cByJ,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,1,2
blood BALB/cBy mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,BALB/cByJ,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,2,2
blood BALB/cBy mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,BALB/cByJ,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,3,2
blood C3H/HeJ mouse strain NOT infected,Mus musculus,total RNA,C3H/HeJ,male,0.50-0.66,-,-,-,-,-,-,0,1,2
blood C3H/HeJ mouse strain NOT infected,Mus musculus,total RNA,C3H/HeJ,male,0.50-0.66,-,-,-,-,-,-,0,2,2
blood C3H/HeJ mouse strain NOT infected,Mus musculus,total RNA,C3H/HeJ,male,0.50-0.66,-,-,-,-,-,-,0,3,2
blood C3H/HeJ mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C3H/HeJ,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,1,2
blood C3H/HeJ mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C3H/HeJ,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,2,2
blood C3H/HeJ mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C3H/HeJ,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,3,2
blood C57BL/6J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,1,2
blood C57BL/6J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,2,2
blood C57BL/6J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger479,1.00E+07,peritoneum,-,infected,2,3,2
blood C57BL/6J mouse strain NOT infected,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,-,-,-,-,-,-,0,1,1
blood C57BL/6J mouse strain NOT infected,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,-,-,-,-,-,-,0,2,1
blood C57BL/6J mouse strain NOT infected,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,-,-,-,-,-,-,0,3,1
blood C57BL/6J mouse strain NOT infected,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,-,-,-,-,-,-,0,4,1
blood C57BL/6J mouse strain NOT infected,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,-,-,-,-,-,-,0,5,1
blood C57BL/6J mouse strain NOT infected,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,-,-,-,-,-,-,0,5,2
blood C57BL/6J mouse strain NOT infected,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,-,-,-,-,-,-,0,1,2
blood C57BL/6J mouse strain NOT infected,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,-,-,-,-,-,-,0,2,2
blood C57BL/6J mouse strain NOT infected,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,-,-,-,-,-,-,0,3,2
blood C57BL/6J mouse strain NOT infected,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,-,-,-,-,-,-,0,4,2
blood C57BL/6J mouse strain NOT infected,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,-,-,-,-,-,-,0,1,2
blood C57BL/6J mouse strain NOT infected,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,-,-,-,-,-,-,0,2,2
blood C57BL/6J mouse strain NOT infected,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,-,-,-,-,-,-,0,3,2
blood C57BL/6J mouse strain blood taken 24 hours after infection with E. coli,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,24,1,1
blood C57BL/6J mouse strain blood taken 24 hours after infection with E. coli,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,24,2,1
blood C57BL/6J mouse strain blood taken 24 hours after infection with E. coli,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,24,3,1
blood C57BL/6J mouse strain blood taken 24 hours after infection with E. coli,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,24,4,1
blood C57BL/6J mouse strain blood taken 24 hours after infection with E. coli,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,24,5,1
blood C57BL/6J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,1,2
blood C57BL/6J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,2,2
blood C57BL/6J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,3,2
blood C57BL/6J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,4,2
blood C57BL/6J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,5,2
blood C57BL/6J mouse strain blood taken 4 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,4,1,2
blood C57BL/6J mouse strain blood taken 4 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,4,2,2
blood C57BL/6J mouse strain blood taken 4 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,4,3,2
blood C57BL/6J mouse strain blood taken 4 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,4,4,2
blood C57BL/6J mouse strain blood taken 4 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,4,5,2
blood C57BL/6J mouse strain blood taken 6 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,6,1,2
blood C57BL/6J mouse strain blood taken 6 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,6,2,2
blood C57BL/6J mouse strain blood taken 6 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,6,3,2
blood C57BL/6J mouse strain blood taken 6 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,6,4,2
blood C57BL/6J mouse strain blood taken 6 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,6,5,2
blood C57BL/6J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,1,2
blood C57BL/6J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,2,2
blood C57BL/6J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,3,2
blood C57BL/6J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,4,2
blood C57BL/6J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,5,2
blood C57BL/6J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,2,1
blood C57BL/6J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,3,1
blood C57BL/6J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,4,1
blood C57BL/6J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,5,1
blood C57BL/6J mouse strain blood taken 12 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,12,1,1
blood NOD/ShiLtJ mouse strain NOT infected,Mus musculus,total RNA,NOD/ShiLtJ,male,0.50-0.66,-,-,-,-,-,-,0,1,2
blood NOD/ShiLtJ mouse strain NOT infected,Mus musculus,total RNA,NOD/ShiLtJ,male,0.50-0.66,-,-,-,-,-,-,0,2,2
blood NOD/ShiLtJ mouse strain NOT infected,Mus musculus,total RNA,NOD/ShiLtJ,male,0.50-0.66,-,-,-,-,-,-,0,3,2
blood NOD/ShiLtJ mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,NOD/ShiLtJ,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,1,2
blood NOD/ShiLtJ mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,NOD/ShiLtJ,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,2,2
blood NOD/ShiLtJ mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,NOD/ShiLtJ,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,3,2
blood A/J mouse strain NOT infected,Mus musculus,total RNA,A/J,male,0.50-0.66,-,-,-,-,-,-,0,1,8
blood A/J mouse strain blood taken 2 hours after infection with E. coli,Mus musculus,total RNA,A/J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,2,1,8
blood A/J mouse strain blood taken 6 hours after infection with E. coli,Mus musculus,total RNA,A/J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,6,1,8
blood A/J mouse strain blood taken 12 hours after infection with E. coli,Mus musculus,total RNA,A/J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,12,1,8
blood A/J mouse strain blood taken 24 hours after infection with E. coli,Mus musculus,total RNA,A/J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,24,1,8
blood C57BL/6J mouse strain NOT infected,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,-,-,-,-,-,-,0,1,8
blood C57BL/6J mouse strain blood taken 2 hours after infection with E. coli,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,2,1,8
blood C57BL/6J mouse strain blood taken 6 hours after infection with E. coli,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,6,1,8
blood C57BL/6J mouse strain blood taken 12 hours after infection with E. coli,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,12,1,8
blood C57BL/6J mouse strain blood taken 24 hours after infection with E. coli,Mus musculus,total RNA,C57BL/6J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,24,1,8
blood A/J mouse strain NOT infected,Mus musculus,total RNA,A/J,male,0.50-0.66,-,-,-,-,-,-,0,2,8
blood A/J mouse strain blood taken 2 hours after infection with E. coli,Mus musculus,total RNA,A/J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,2,2,8
blood A/J mouse strain blood taken 6 hours after infection with E. coli,Mus musculus,total RNA,A/J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,6,2,8
