Source,Organism,Molecule,Characteristic
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
peripheral blood,Homo sapiens,total RNA,"OrderedDict([('@tag', 'group'), ('#text', 'post-surgical')])"
